1,8b0b5b189e1eef980b88605a111672d47e0d7136,otp_ctrl,[otp_ctrl] Split TL-UL interfaces into 'core' and 'prim',   "INTERFACE_DRIFT" "COVERAGE_REGRESSION" "RAL_DESYNC"
2,11017d6bb5b510fbdd8d6c91dcb1260ee38d0fe1,dcd,[dcd] add auto generated tb,   "OTHER"
3,81cfbe0cfd8bfbb2b18f9a54cf14de31ceb4deb1,spi_device,[spi_device] Harmonize address mode syncs to byte beats,  "RAL_DESYNC" "SEQUENCE_INVALIDATION"
4,07159d5952ab29f981950c72e289846e1389a2d7,otbn,"[otbn,rtl] Separate wipe value of last WDR and ACC register",   "RAL_DESYNC"
5,1321b6f2b949085b8c3ef8b2ae4eafa02554699f,otp_ctrl,[otp_ctrl] Support SW partitions without digest,   "INTERFACE_DRIFT"
6,e41a401f28b7bb2676fd95f84afff869df9402b4,pwrmgr,[pwrmgr] Streamline usb clock enable controls,        "INTERFACE_DRIFT" "ASSERTION_ORPHANING"
7,5c21925fc18d0f641c2ca42f177e2c382d4e5d7c,sram_ctrl,[sram_ctrl] Harden initialization counter,         "SEQUENCE_INVALIDATION" "RAL_DESYNC" "INTERFACE_DRIFT"
8,071972319c4aa79ee3d0c9d7f47742ff90281cdb,spi_device,[spi_device] Add flash mode interrupts,           "INTERFACE_DRIFT"
9,bd161af75d866fe99c36e7df3549c48f4db559a0,i2c,[i2c] Update tx_empty to status based interrupt,         "SEQUENCE_INVALIDATION" "RAL_DESYNC"
10,b1ba59b519d632b1ef7f2dda4ece681d6c65b0b8,flash_ctrl,[flash / top / ast] functional updates,           "INTERFACE_DRIFT"
11,039ab4b338855f53476ffd03a0b143fb36bdb751,otbn,"[otbn,rtl] Refactor loop control so commit doesn't factor into prefetch",  "INTERFACE_DRIFT" "SEQUENCE_INVALIDATION"
12,b058bfe50707f0387891a892baaecb3625480e7b,spi_host,"[hw,spi_host,rtl] Increase command length to 20-bit",   "INTERFACE_DRIFT" "SEQUENCE_INVALIDATION"
13,25add112171bb71e6a1119943bcf3d9935da031d,mbx,"[hw,mbx] Update source files with new license header",   "OTHER"
14,621b69ea0c35c5d30373755f65fc4108fbceb0dc,otp_ctrl,[otp_ctrl] Use comportable channels for alerts emanating from prim_otp,  "INTERFACE_DRIFT" "ASSERTION_ORPHANING"
15,6ee0cf0193bfc2b5bb1b955461404495b1f39b95,spi_host,"[hw,spi_host,rtl] Remove configopts multi register",  "SEQUENCE_INVALIDATION"
16,72535bce8c7ead635c8e90ab6911ae7681a4f6ea,alert_handler,[alert_handler/top] Lint fixes and lc_tx_t to mubi4_t conversions,  "INTERFACE_DRIFT"
17,f88ac37a4caf0039159e8281f660515401c1cc59,otbn,"[otbn,dv] Model the local escalation registering in the tracer",              "CHECKER_DESYNC"
18,15df2c3ab0f9f3b7d15bda26c7066e37a58440a7,csrng,[csrng/dv] Align dv with RTL changes,                                       "COVERAGE_REGRESSION"
19,b9afd40c3e9d9a8a852c7b8372b1744645ffa15e,aes,"[aes,rtl] Switch to Bivium-based masking PRNG implementation",                 "ASSERTION_ORPHANING" "INTERFACE_DRIFT"
20,3f2a1c1223d3ca969b726d0ca982e936c5a42e4b,clkmgr,"[clkmgr, pwrmgr] Add clock handshaking for usb",                            "INTERFACE_DRIFT" "SEQUENCE_INVALIDATION" "CHECKER_DESYNC"
21,c90e0c58a98990c1fc667f558c05db6367d5cc37,aes,"[aes] Use sparse encodings for FSMs, trigger alert for invalid states",        "SEQUENCE_INVALIDATION"
22,b8db07a467f3e257ea3dea4eaea34447f12e45d5,otbn,[otbn] Add instruction counter.,                                               "INTERFACE_DRIFT"
23,09e25ac82d995fc7c9cfc9a18eb1db22c3d3630b,otbn,[otbn] Clear External CSRs RTL,                                                "INTERFACE_DRIFT"
24,39af375e1e56317c6e2989b8c4f73fa0fdde1cfd,edn,[edn/rtl] Add new recoverable alert,                                               "SEQUENCE_INVALIDATION"
25,20f8ec1676fcf796a50f3016beaf5dbe486a6aaf,entropy_src,[entropy_src/dv] Run block-level DV with actual FIFO depths,                "SEQUENCE_INVALIDATION"  "CHECKER_DESYNC"
26,b13dc6ff8ebb9282155f5c2fbb0e7798d6a76f34,i2c,"[I2C, DV, RTL] Remove a non-existent assertion from DV / RTL",                     "ASSERTION_ORPHANING"  
27,1c9adba488df8a65639a7d66af491eb1e1cb47b7,otp_ctrl,[otp_ctrl] Make DAI registers software-lockable,                               "CHECKER_DESYNC"
28,fc9528c6775c9f568a1a341e0efeab33127f588d,otbn,"[otbn,rtl,dv] Run secure wipe after reset",                                       "OTHER"
29,85d5126183fae9084c9626d890d76b7859d9d89e,otbn,[otbn] Remove SecWipeEn configuration machinery,                                   "RAL_DESYNC"
30,0cbc6f7d9984fb35218dcd72672013a6fcc3a2a6,i2c,[i2c] Add ACK Control Mode,                                                           "INTERFACE_DRIFT" "SEQUENCE_INVALIDATION" "CHECKER_DESYNC" "RAL_DESYNC"
31,3345986c784bafc85c70de6a1d51b42588b2e09b,dma,"[hw,dma,dv] Add sequence to test DMA enabled memory region lock register",            "SEQUENCE_INVALIDATION"
32,ee5f4a1abf7dcbfca031bdad5e5aa4aafaefdb33,otbn,[sram_ctrl] Add readback feature,                                                      "INTERFACE_DRIFT"
33,1a453313bf3ebde0e7c6805608c485265bd288c2,entropy_src,[entropy_src] Unify FIPS and bypass threshold registers to save area,           "INTERFACE_DRIFT"
34,da7fc3571b4a3d8dffd34b230def5472edd7c593,lc_ctrl,"[lc_ctrl,rtl] change lc_flash_rma to lc_nvm_rma",                                  "COVERAGE_REGRESSION"
35,a29dba0686093ce4bbb288768ae0f6381deafc61,i2c,[i2c/rtl] Replace FFs for FIFOs with a single SRAM,                                     "INTERFACE_DRIFT"
36,57f9776639e938193dfc15c3bcc6c208f07e321d,entropy_src,"[entropy_src] Lock up Ack SM upon fatal local events, align scoreboard",       "CHECKER_DESYNC"
37,5403f07ce4577de469ab70206af00ec30e5460ad,adc_ctrl,[adc_ctrl] update filter detection,                                                   "CHECKER_DESYNC"
38,486824971574f7810d5a00540130113a868d6dce,edn,[dv/edn] edn_sec_cm enhancement,                                                        "SEQUENCE_INVALIDATION"
39,02eaac710afb2080e64706e73b1b5d0f8d017e1b,keymgr,[kmac] Moving KDF struct to KMAC IP,                                                 "INTERFACE_DRIFT"
40,5d4d4e522848ee15d5423836cf00c334296a1c45,rom_ctrl,[rom_ctrl] KMAC interface optimization,                                                "SEQUENCE_INVALIDATION" "CHECKER_DESYNC"
41,81ccf2754d896fe5bb8cea011314d7c31fb74662,csrng,[csrng/rtl] Remove the keyvrc FIFO from ctr_drbg_cmd,                                     "SEQUENCE_INVALIDATION" "INTERFACE_DRIFT"
42,144ca84e05878fb6b813bfe18c776c22eb287a3a,aes,[aes] Add life cycle escalation signal,                                                     "INTERFACE_DRIFT"
43,6efde1ecc4ddd4ec2e38ddcf3697b76bb78d18a3,flash_ctrl,[flash_ctrl] Move flash init to software control instead of hardware,            "SEQUENCE_INVALIDATION" "INTERFACE_DRIFT"
44,671369d854841f8c46e7efd07e98487902d17a39,sram_ctrl,"[racl,rtl,sram_ctrl,spi_host,spi_device] Enable RACL ranges for sram_ctrl",          "SEQUENCE_INVALIDATION" "ASSERTION_ORPHANING" "INTERFACE_DRIFT"
45,b3c72069c2e77c5826cf9d5dcb689705c3879070,rv_dm,[rv_dm] Implement NDM reset tracking,                                                     "INTERFACE_DRIFT"
46,454f88af63fb474af3fb31c19802417dea01b91a,sysrst_ctrl,[sysrst_ctrl] Signal naming cleanup for D3,                                         "OTHER"
47,c2cab430429e24be07799bd227e1cddf9f831b2e,otbn,"[otbn, rtl] Blank flag generation in bignum ALU for SCA hardening",                       "INTERFACE_DRIFT"
